region,percentile,f_GHz,gamma_dB_per_km,gammaR_dB_per_km,gamma_total_dB_per_km
costa,50,6.0,0.014098639471176287,0.0061317129951851,0.020230352466361387
costa,50,7.0,0.019134592480607938,0.0152913608042502,0.03442595328485814
costa,50,11.0,0.04683371178340346,0.1122769281251245,0.15911063990852797
costa,50,15.0,0.08721937852065832,0.2687750830519588,0.3559944615726171
costa,50,18.0,0.13083466263227977,0.3869538172979463,0.5177884799302261
costa,50,23.0,0.33661540565130293,0.6048854497997191,0.941500855451022
costa,50,32.0,0.3435948430325378,1.12288375990605,1.4664786029385877
costa,50,38.0,0.4581729143234111,1.5224482057746898,1.980621120098101
costa,95,6.0,0.014410907707603,0.0345142251793152,0.048925132886918195
costa,95,7.0,0.019559065682238686,0.0772611958401285,0.09682026152236718
costa,95,11.0,0.04789155084162178,0.402311348581551,0.45020289942317276
costa,95,15.0,0.0892748958926945,0.8462595732708694,0.9355344691635639
costa,95,18.0,0.13417890724282572,1.1640541759854623,1.298233083228288
costa,95,23.0,0.34871743555115176,1.7423720917472318,2.091089527298384
costa,95,32.0,0.35232038997961335,3.011878162157636,3.3641985521372493
costa,95,38.0,0.47027799549589183,3.895620331157133,4.365898326653025
selva,50,6.0,0.01435853749418785,0.054262746678954,0.06862128417314185
selva,50,7.0,0.019488006672220913,0.118081970798074,0.13756997747029492
selva,50,11.0,0.0477185731228015,0.5619576838261316,0.6096762569489331
selva,50,15.0,0.08895782166117652,1.1427194926051516,1.2316773142663282
selva,50,18.0,0.13372065900672928,1.5531888945455874,1.6869095535523166
selva,50,23.0,0.34779559247236497,2.298565635620723,2.646361228093088
selva,50,32.0,0.35108717722845445,3.899822844347359,4.250910021575813
selva,50,38.0,0.46864914808721037,4.982235263652532,5.450884411739742
selva,95,6.0,0.015046058522846888,0.3054344942752833,0.3204805527981302
selva,95,7.0,0.020422726391003225,0.59662147717308,0.6170442035640832
selva,95,11.0,0.05005346755210864,2.013610074670941,2.0636635422230496
selva,95,15.0,0.09352077596913592,3.597942559256489,3.6914633352256248
selva,95,18.0,0.14122393246754913,4.672381917343682,4.813605849811231
selva,95,23.0,0.3758774416180264,6.621016617081544,6.996894058699571
selva,95,32.0,0.3705927453371553,10.460380388933617,10.830973134270772
selva,95,38.0,0.49581213096283105,12.748477691440876,13.244289822403706
sierra,50,6.0,0.014218455835215712,0.0182407124029129,0.03245916823812861
sierra,50,7.0,0.019297247646903774,0.0424927525579397,0.06179000020484347
sierra,50,11.0,0.04723214714860264,0.2511869472649963,0.29841909441359893
sierra,50,15.0,0.08796135411029792,0.5541971910160153,0.6421585451263132
sierra,50,18.0,0.13194390529859557,0.7752498769617397,0.9071937822603353
sierra,50,23.0,0.33937346395893625,1.1791390538849176,1.5185125178438539
sierra,50,32.0,0.34655795227713426,2.092617437189194,2.439175389466328
sierra,50,38.0,0.46214711038743267,2.7541232975114216,3.2162704078988544
sierra,95,6.0,0.01615353119523415,0.1026734382055426,0.11882696940077675
sierra,95,7.0,0.021928182648349198,0.2146990656484002,0.2366272482967494
sierra,95,11.0,0.053808279708714414,0.9000545453794807,0.9538628250881951
sierra,95,15.0,0.10083321949290303,1.7449336190381275,1.8457668385310306
sierra,95,18.0,0.15317345809190933,2.3321461537997297,2.485319611891639
sierra,95,23.0,0.4193855157356045,3.3965091745198555,3.81589469025546
sierra,95,32.0,0.4016686080369194,5.6129663513414325,6.014634959378352
sierra,95,38.0,0.53896233538357,7.04721426423805,7.58617659962162
